Full Name,Workplace,Location,Connections,Followers,Number of Experiences,Number of Educations,Number of Skills,Number of Projects,Number of Publications,Number of Languages,Number of Interests,Average Likes per Post,Average Comments per Post,Average Shares per Post,Total Posts,Engagement Rate (%),Last Active Date,Post Frequency,Most Engaged Post Type,Years of Experience,Job Changes in Last 5 Years,Promotion Count,Industry,Sentiment of Recent Posts,LinkedIn Profile Popularity Score
Rahul Mishra,Microsoft,USA,857,6202,12,3,42,4,0,4,15,30,45,5,97,3.55,09-10-2030,Rarely,Article,2,2,0,Tech,Neutral,69.08
Shweta Bhattacharya,Amazon,Australia,1842,11433,8,1,21,4,1,3,18,365,17,44,343,9.27,10-10-2030,Rarely,Video,29,3,1,Consulting,Neutral,65.81
Shweta Bhattacharya,Freelancer,Germany,1570,7298,4,1,32,2,4,4,1,145,99,38,385,5.67,11-10-2030,Daily,Image,9,4,1,Healthcare,Neutral,27.92
Ananya Kapoor,Facebook,Australia,1627,17319,7,3,9,5,2,2,3,439,88,23,195,7.85,12-10-2030,Rarely,Text,16,2,0,Finance,Neutral,8.93
Aarav Sharma,Freelancer,India,3380,5964,10,2,10,8,4,3,10,90,53,40,36,4.56,13-10-2030,Rarely,Image,5,4,0,Healthcare,Neutral,13.8
Harsh Vardhan,Amazon,Australia,2849,18947,8,1,46,2,4,1,7,133,40,13,464,3.07,14-10-2030,Weekly,Text,12,1,0,Finance,Positive,85.11
Siddharth Pandey,Google,UK,3796,3722,4,4,47,4,3,2,14,254,17,39,249,9.1,15-10-2030,Monthly,Video,7,2,0,Consulting,Negative,60.52
Tanvi Agarwal,Amazon,USA,3480,806,4,2,29,2,3,4,3,219,54,49,415,0.54,16-10-2030,Rarely,Video,9,3,2,Finance,Positive,47.43
Rahul Mishra,Freelancer,Germany,1515,8675,4,4,13,6,1,3,2,342,29,17,90,3.33,17-10-2030,Rarely,Article,2,3,2,Education,Neutral,2.01
Pallavi Thakur,Startup,India,4047,3813,6,3,49,8,0,4,11,307,6,37,58,8.04,18-10-2030,Monthly,Text,3,4,0,Healthcare,Positive,35.06
Arjun Reddy,Amazon,Germany,1594,2422,6,1,17,1,4,2,14,54,12,26,485,2.39,19-10-2030,Rarely,Video,25,3,2,Consulting,Neutral,90.21
Aarav Sharma,Google,USA,465,9186,12,4,40,4,2,2,10,72,31,30,326,3.15,20-10-2030,Daily,Article,4,1,1,Tech,Positive,60.09
Sandeep Patil,Startup,USA,1442,18340,12,3,33,7,1,1,8,108,6,8,272,4.42,21-10-2030,Weekly,Image,9,3,2,Tech,Positive,64.42
Varun Bhatia,Freelancer,USA,793,12332,3,3,8,7,2,4,13,498,10,6,312,6.09,22-10-2030,Daily,Image,14,3,0,Consulting,Positive,20.56
Ritika Jain,Amazon,Germany,1231,14465,6,4,29,0,1,2,19,141,22,39,316,8.41,23-10-2030,Weekly,Video,3,4,2,Tech,Positive,22.83
Sneha Joshi,Facebook,India,1884,7880,6,4,45,3,2,1,8,165,4,15,333,4.25,24-10-2030,Monthly,Text,21,1,2,Healthcare,Negative,68.08
Nitin Saxena,Freelancer,UK,2847,19550,10,4,43,1,4,4,5,476,25,16,168,6.82,25-10-2030,Weekly,Article,2,1,2,Finance,Positive,48.8
Rohan Iyer,Startup,UK,1243,17398,10,3,13,8,3,3,14,356,74,14,300,8.38,26-10-2030,Daily,Video,29,0,0,Tech,Negative,47.3
Simran Kaur,Startup,USA,3210,5279,8,1,6,7,2,2,17,422,82,12,196,5.19,27-10-2030,Monthly,Video,28,0,0,Healthcare,Positive,79.95
Karthik Nair,Microsoft,UK,3110,216,9,1,36,3,1,4,8,291,97,45,61,4.49,28-10-2030,Daily,Text,11,1,1,Marketing,Neutral,60.89
Sandeep Patil,Freelancer,USA,3357,10146,7,2,23,3,3,3,17,402,58,31,147,3.62,29-10-2030,Rarely,Article,9,3,0,Healthcare,Negative,19.75
Sandeep Patil,Freelancer,Germany,163,3077,3,1,13,2,1,3,18,300,22,36,145,7.18,30-10-2030,Rarely,Image,4,0,2,Marketing,Negative,31.42
Vikram Mehta,Microsoft,UK,353,2329,3,1,22,1,1,3,12,464,20,47,319,2.36,31-10-2030,Monthly,Video,9,4,0,Healthcare,Negative,39.91
Ritika Jain,Tesla,Australia,2593,1750,6,2,10,6,4,3,10,193,23,8,344,5.95,01-11-2030,Daily,Image,21,1,0,Education,Positive,51.84
Arjun Reddy,Tesla,Canada,630,17889,10,4,23,8,3,4,13,275,73,14,151,0.83,02-11-2030,Daily,Image,11,3,0,Marketing,Negative,2.51
Pooja Choudhary,Facebook,Canada,1771,12478,6,1,7,9,2,3,1,223,13,10,161,9.48,03-11-2030,Rarely,Video,27,1,2,Finance,Negative,98.54
Manish Kulkarni,Facebook,Germany,1391,3279,3,4,35,5,0,2,5,96,60,10,251,7.31,04-11-2030,Daily,Text,16,1,0,Finance,Neutral,2.14
Tanvi Agarwal,Facebook,India,509,14024,2,2,42,2,3,3,12,144,83,40,170,4.35,05-11-2030,Weekly,Text,21,1,2,Education,Neutral,81.03
Sneha Joshi,Microsoft,Germany,2586,2040,8,3,39,5,4,1,7,254,81,15,18,4.24,06-11-2030,Rarely,Video,16,4,1,Tech,Neutral,18.51
Kavya Deshmukh,Tesla,India,3047,8910,9,3,21,5,3,1,16,471,80,31,390,3.82,07-11-2030,Daily,Text,25,2,0,Education,Neutral,39.63
Harsh Vardhan,Freelancer,UK,3542,2637,9,2,47,5,4,1,12,197,13,3,220,5.12,08-11-2030,Weekly,Text,7,1,1,Finance,Negative,18.29
Ritika Jain,Freelancer,UK,607,629,11,4,29,4,2,4,4,374,22,30,392,3.32,09-11-2030,Weekly,Text,3,4,0,Tech,Positive,55.42
Divya Menon,Startup,Australia,369,10883,2,1,34,2,4,1,6,211,55,24,76,8.95,10-11-2030,Rarely,Image,28,0,0,Finance,Positive,68.31
Simran Kaur,Startup,UK,4919,8904,3,2,30,3,0,3,16,419,86,9,268,5.42,11-11-2030,Weekly,Article,25,2,0,Marketing,Neutral,31.48
Sneha Joshi,Amazon,Australia,449,17735,2,2,47,4,1,2,14,284,69,27,16,1.24,12-11-2030,Weekly,Image,29,1,1,Marketing,Positive,84.49
Pooja Choudhary,Facebook,Canada,3932,17367,13,1,9,1,2,3,9,408,63,12,353,7.67,13-11-2030,Rarely,Video,16,4,2,Healthcare,Negative,86.69
Meera Rao,Microsoft,Australia,2060,14813,12,3,18,9,2,2,10,458,32,25,428,8.34,14-11-2030,Weekly,Image,8,0,0,Consulting,Positive,29.41
Isha Bansal,Amazon,USA,842,5138,7,1,9,4,1,4,9,150,15,37,31,6.33,15-11-2030,Rarely,Article,16,3,0,Consulting,Neutral,93.56
Ritika Jain,Google,Germany,1470,10704,2,2,30,6,1,4,18,471,6,35,329,2.81,16-11-2030,Weekly,Image,12,4,1,Education,Negative,39.9
Pallavi Thakur,Microsoft,India,1462,16239,9,4,45,6,0,2,11,19,55,25,153,1.66,17-11-2030,Daily,Text,16,4,0,Finance,Positive,32.65
Kavya Deshmukh,Facebook,USA,1566,9673,5,4,13,9,2,4,3,304,34,18,323,7.59,18-11-2030,Weekly,Text,27,3,0,Consulting,Neutral,38.37
Vikram Mehta,Microsoft,Australia,4627,11619,8,4,25,4,4,4,19,63,17,4,294,2.02,19-11-2030,Weekly,Image,28,1,2,Finance,Negative,49.76
Rahul Mishra,Amazon,Australia,3822,15749,1,4,31,8,1,2,14,72,38,18,367,2.49,20-11-2030,Monthly,Video,4,2,0,Tech,Neutral,38.91
Aakash Sinha,Google,UK,98,13034,14,4,10,1,2,2,15,413,76,21,233,9.34,21-11-2030,Monthly,Text,3,1,1,Finance,Positive,35.48
Arjun Reddy,Freelancer,USA,3676,5413,6,2,8,3,4,3,1,284,1,35,41,8.82,22-11-2030,Monthly,Text,19,0,1,Finance,Neutral,38.49
Yashwant Joshi,Freelancer,Canada,158,9840,10,4,16,4,0,2,13,98,72,45,183,3.72,23-11-2030,Monthly,Image,17,2,2,Marketing,Negative,61.99
Meera Rao,Facebook,Germany,2149,8464,13,4,19,7,0,3,14,294,69,48,482,2.31,24-11-2030,Monthly,Image,6,3,1,Healthcare,Neutral,38.09
Simran Kaur,Startup,UK,1713,6114,5,3,7,7,3,2,18,103,95,12,74,5.3,25-11-2030,Weekly,Video,20,2,1,Consulting,Neutral,44.4
Vikram Mehta,Google,Germany,4893,5831,7,4,35,4,2,1,4,184,26,43,230,9.24,26-11-2030,Weekly,Image,10,4,1,Consulting,Negative,67.65
Abhishek Tiwari,Tesla,USA,1369,9709,8,4,20,6,2,2,4,316,79,3,239,8.88,27-11-2030,Weekly,Text,8,3,0,Finance,Positive,60.73
Sneha Joshi,Microsoft,Australia,2493,9537,10,3,40,3,3,2,2,283,88,24,411,8.22,28-11-2030,Weekly,Article,2,0,0,Healthcare,Neutral,72.46
Shweta Bhattacharya,Google,India,1165,1764,13,2,19,9,2,2,17,427,32,16,288,7.33,29-11-2030,Daily,Video,9,1,2,Tech,Positive,60.43
Abhishek Tiwari,Startup,Canada,2976,8743,11,1,39,6,4,1,10,201,89,32,461,9.85,30-11-2030,Rarely,Video,20,4,2,Education,Positive,21.65
Yashwant Joshi,Startup,UK,2790,16408,9,2,49,6,3,4,2,365,4,16,26,9.93,01-12-2030,Daily,Text,13,4,2,Marketing,Negative,5.35
Ananya Kapoor,Amazon,UK,4959,16184,14,4,43,6,2,3,13,111,60,8,31,3.45,02-12-2030,Monthly,Text,7,3,0,Consulting,Neutral,10.58
Aditi Chauhan,Amazon,USA,3246,8895,1,3,12,6,3,4,3,184,15,4,149,1.29,03-12-2030,Monthly,Text,15,2,1,Finance,Negative,91.43
Arjun Reddy,Amazon,Canada,171,15410,11,2,8,5,3,4,1,370,70,7,374,0.66,04-12-2030,Daily,Image,20,3,0,Marketing,Negative,69.01
Siddharth Pandey,Freelancer,UK,4934,10726,13,3,15,9,2,4,2,55,13,31,215,9.44,05-12-2030,Rarely,Image,12,1,1,Finance,Positive,99.19
Sandeep Patil,Amazon,Australia,711,10323,3,2,48,4,3,3,12,120,64,23,401,2.41,06-12-2030,Daily,Article,9,1,2,Healthcare,Positive,84.83
Nidhi Goel,Tesla,UK,3946,18563,2,1,11,7,1,4,19,370,15,36,492,4.77,07-12-2030,Monthly,Text,16,3,2,Marketing,Negative,62
Rajesh Gupta,Amazon,UK,94,16875,14,3,28,8,3,3,13,327,19,30,298,7.56,08-12-2030,Monthly,Article,3,2,0,Tech,Neutral,42.16
Abhishek Tiwari,Google,Germany,3029,7716,5,3,40,1,2,4,12,263,38,41,27,8.71,09-12-2030,Rarely,Image,4,1,1,Finance,Neutral,90.81
Ritika Jain,Tesla,USA,2612,12422,12,3,22,7,0,1,11,69,55,4,472,8.73,10-12-2030,Rarely,Image,28,3,0,Tech,Neutral,45.16
Ananya Kapoor,Freelancer,India,4665,11115,9,2,9,2,4,4,15,77,33,26,134,7.45,11-12-2030,Daily,Article,28,2,0,Marketing,Neutral,33.15
Ananya Kapoor,Freelancer,India,4318,13123,5,2,44,1,0,2,1,483,58,4,318,6.15,12-12-2030,Weekly,Text,2,2,1,Healthcare,Positive,57.19
Rajesh Gupta,Startup,Australia,4429,11457,11,1,20,6,1,4,8,275,62,12,145,5.69,13-12-2030,Weekly,Article,15,1,0,Education,Neutral,11.41
Aarav Sharma,Tesla,USA,4800,1521,13,4,41,4,2,4,14,298,27,46,101,7.95,14-12-2030,Rarely,Text,19,1,1,Finance,Positive,96.71
Meera Rao,Startup,India,4870,8387,12,4,20,6,3,1,14,80,62,34,229,1.74,15-12-2030,Rarely,Text,17,2,1,Finance,Negative,29.64
Ritika Jain,Microsoft,USA,4217,698,1,4,22,2,1,1,7,109,80,27,80,3.26,16-12-2030,Rarely,Image,15,4,0,Consulting,Neutral,83.16
Neha Malhotra,Freelancer,USA,2442,2288,3,4,21,8,2,1,18,56,66,46,58,4.78,17-12-2030,Monthly,Text,28,2,1,Marketing,Positive,15.67
Karthik Nair,Google,Canada,962,15124,11,2,18,8,2,4,13,75,70,41,123,6.31,18-12-2030,Monthly,Article,10,3,0,Marketing,Negative,26.28
Rohan Iyer,Facebook,India,3534,18439,2,4,47,2,4,3,15,230,97,44,292,4.84,19-12-2030,Monthly,Video,22,0,2,Education,Neutral,21.01
Vikram Mehta,Tesla,India,3576,9085,5,3,40,1,0,3,12,287,4,0,101,1.63,20-12-2030,Monthly,Image,21,1,0,Consulting,Negative,97.65
Aarav Sharma,Google,India,1091,15507,11,2,27,4,3,2,12,206,87,10,358,7.21,21-12-2030,Monthly,Video,27,2,0,Tech,Negative,65.38
Meera Rao,Microsoft,India,3442,5559,12,2,9,7,3,1,17,97,2,24,231,9.74,22-12-2030,Monthly,Image,1,0,0,Consulting,Negative,97.56
Aakash Sinha,Microsoft,UK,3367,7592,13,1,14,6,1,1,8,335,37,22,225,8.35,23-12-2030,Rarely,Video,3,0,2,Education,Neutral,11.43
Manish Kulkarni,Microsoft,UK,3738,6625,8,2,18,7,1,3,18,84,46,2,101,9.35,24-12-2030,Monthly,Video,3,1,0,Marketing,Positive,87.61
Meera Rao,Google,USA,2040,5210,2,3,20,0,3,1,6,119,61,14,215,8.6,25-12-2030,Rarely,Text,20,0,2,Tech,Neutral,35.32
Harsh Vardhan,Facebook,Germany,2511,3374,2,4,6,2,0,4,6,196,84,26,291,1.04,26-12-2030,Rarely,Article,7,2,1,Finance,Neutral,33.86
Aniket Bose,Microsoft,Germany,935,3217,6,4,37,4,4,2,5,158,43,8,123,4.02,27-12-2030,Weekly,Text,26,3,2,Consulting,Neutral,57.76
Shweta Bhattacharya,Startup,Canada,518,19286,5,4,32,6,1,3,9,86,31,12,120,9.46,28-12-2030,Daily,Text,3,0,2,Consulting,Negative,32.53
Kavya Deshmukh,Facebook,Germany,698,15465,8,1,32,8,1,1,11,33,30,24,203,2.01,29-12-2030,Weekly,Video,1,4,1,Finance,Neutral,99.88
Karthik Nair,Google,Germany,4496,4861,2,1,42,4,3,3,1,444,17,30,207,4.72,30-12-2030,Rarely,Article,6,2,0,Tech,Negative,44
Sneha Joshi,Facebook,Australia,2929,1565,1,2,37,2,0,1,5,314,58,39,208,6.92,31-12-2030,Daily,Video,9,1,0,Marketing,Negative,17.55
Neha Malhotra,Amazon,Canada,4214,4968,4,3,45,4,3,2,4,367,31,46,455,8.86,01-01-2031,Monthly,Text,17,2,0,Education,Neutral,15.79
Nitin Saxena,Freelancer,UK,2038,12653,7,1,31,1,4,2,19,457,24,39,272,9.86,02-01-2031,Daily,Image,29,1,2,Education,Neutral,30.1
Rahul Mishra,Startup,India,619,18955,3,2,36,2,3,2,15,417,37,6,135,1.52,03-01-2031,Weekly,Text,24,0,0,Consulting,Positive,11.6
Shweta Bhattacharya,Amazon,UK,1179,11325,12,4,20,4,0,4,14,483,59,1,240,2.62,04-01-2031,Monthly,Video,17,2,2,Tech,Neutral,79.62
Ritika Jain,Freelancer,Germany,4778,1763,10,1,48,9,1,4,5,261,29,34,106,5.1,05-01-2031,Monthly,Article,21,1,2,Tech,Negative,39.19
Karthik Nair,Microsoft,Canada,1274,142,4,2,41,9,4,4,17,120,73,25,205,7.72,06-01-2031,Weekly,Image,27,1,2,Marketing,Positive,27.26
Divya Menon,Microsoft,Canada,3374,14139,3,4,17,1,4,3,3,294,62,27,351,5.29,07-01-2031,Rarely,Video,11,1,2,Education,Positive,20.48
Ritika Jain,Microsoft,Germany,4266,9319,5,2,26,3,0,3,4,495,35,38,411,4.55,08-01-2031,Daily,Article,18,1,2,Tech,Neutral,13.26
Yashwant Joshi,Startup,Germany,3524,801,3,4,43,8,1,2,19,240,25,9,390,4.27,09-01-2031,Rarely,Video,17,4,1,Consulting,Negative,97.89
Aarav Sharma,Google,Germany,2951,19280,10,4,44,7,0,1,1,334,52,25,456,9.08,10-01-2031,Rarely,Text,26,0,1,Education,Neutral,7.05
Swati Rajan,Facebook,India,2168,4954,7,3,37,6,0,3,6,76,20,10,194,5.7,11-01-2031,Monthly,Video,10,4,0,Consulting,Neutral,70.26
Nidhi Goel,Google,UK,95,8483,5,2,27,5,2,4,4,282,48,25,196,9.87,12-01-2031,Daily,Image,18,3,0,Consulting,Neutral,89.08
Yashwant Joshi,Startup,Germany,3779,16487,2,2,25,5,1,2,16,17,77,25,240,4.05,13-01-2031,Weekly,Text,3,1,1,Marketing,Positive,44.2
Nitin Saxena,Tesla,India,3591,3716,12,4,31,6,2,4,5,488,57,33,49,6.68,14-01-2031,Monthly,Image,11,2,1,Consulting,Negative,60.81
Kavya Deshmukh,Facebook,UK,4271,15753,9,2,18,4,2,3,2,5,80,4,114,5.12,15-01-2031,Weekly,Text,26,4,2,Education,Positive,1.98
Kavya Deshmukh,Microsoft,USA,4019,3665,2,2,21,9,3,1,19,247,52,37,200,1.9,16-01-2031,Weekly,Image,6,4,2,Healthcare,Neutral,25.82
Aakash Sinha,Microsoft,Australia,1831,1638,4,3,28,4,4,1,6,384,15,32,325,8.97,17-01-2031,Weekly,Text,10,2,2,Education,Negative,7.69
Aditi Chauhan,Facebook,India,4771,19985,9,2,11,8,0,4,3,10,24,49,15,8.38,18-01-2031,Monthly,Text,28,2,0,Tech,Negative,54.39
Karthik Nair,Amazon,Canada,736,9315,7,1,12,1,3,1,11,345,26,44,266,4.16,19-01-2031,Rarely,Video,15,0,2,Education,Neutral,22.74
Nitin Saxena,Google,Canada,1849,9914,12,2,28,8,2,1,17,253,56,34,52,2.23,20-01-2031,Monthly,Article,28,4,0,Healthcare,Negative,39.49
Ritika Jain,Amazon,Germany,613,17112,8,3,45,2,2,3,17,393,59,8,416,4.76,21-01-2031,Daily,Article,25,2,1,Tech,Positive,20.47
Nitin Saxena,Microsoft,UK,356,1643,10,4,11,2,3,4,10,436,39,44,161,2.16,22-01-2031,Daily,Text,13,1,1,Consulting,Neutral,31.63
Pooja Choudhary,Startup,UK,1447,5253,5,1,37,1,0,1,11,168,97,14,360,6.54,23-01-2031,Weekly,Text,9,0,0,Consulting,Positive,91.49
Ritika Jain,Tesla,India,938,10644,13,3,16,3,2,2,8,463,61,48,168,5.7,24-01-2031,Daily,Image,14,3,2,Education,Positive,40.23
Ritika Jain,Amazon,India,1136,18874,12,2,19,6,3,1,1,277,42,30,29,9.57,25-01-2031,Daily,Text,8,2,1,Tech,Positive,92.94
Simran Kaur,Microsoft,Canada,201,117,3,2,40,6,4,2,10,437,61,21,345,4.7,26-01-2031,Weekly,Image,7,0,2,Healthcare,Positive,58.55
Priya Verma,Microsoft,Canada,3760,17237,9,2,28,0,4,2,15,193,87,14,107,6.47,27-01-2031,Rarely,Article,8,3,0,Tech,Neutral,18.47
Manish Kulkarni,Facebook,India,4189,11183,2,2,43,3,3,1,12,79,43,6,491,1.87,28-01-2031,Rarely,Image,15,1,0,Consulting,Neutral,65.8
Sandeep Patil,Tesla,Canada,2830,1845,6,2,36,4,3,2,9,230,42,10,401,9.28,29-01-2031,Monthly,Image,26,0,0,Healthcare,Positive,88.91
Sneha Joshi,Google,India,4536,17031,9,4,10,3,0,3,15,114,11,42,341,9.31,30-01-2031,Daily,Video,9,4,0,Marketing,Neutral,83.13
Sneha Joshi,Amazon,Australia,3283,14604,12,3,43,8,1,2,10,107,87,13,80,7.83,31-01-2031,Weekly,Image,9,4,2,Tech,Neutral,20.08
Tanvi Agarwal,Amazon,UK,3835,3422,8,1,14,3,4,4,11,455,10,8,247,5.68,01-02-2031,Daily,Text,28,3,2,Tech,Neutral,77.6
Isha Bansal,Facebook,Germany,2166,14852,14,3,49,5,2,4,19,142,69,37,246,1.38,02-02-2031,Monthly,Text,1,2,1,Tech,Negative,91.49
Abhishek Tiwari,Amazon,UK,2767,2092,1,1,40,2,4,3,6,335,68,37,229,4.92,03-02-2031,Rarely,Image,26,0,0,Healthcare,Neutral,95.17
Priya Verma,Startup,Germany,4720,6391,9,1,20,8,3,2,2,175,78,36,476,4.22,04-02-2031,Rarely,Article,3,1,0,Finance,Negative,38.63
Tanvi Agarwal,Startup,Canada,3636,5848,14,3,24,0,1,1,1,43,80,39,366,1.49,05-02-2031,Daily,Article,12,3,0,Tech,Neutral,28.39
Harsh Vardhan,Freelancer,Germany,4800,19127,2,1,8,5,1,1,1,279,63,38,104,8.68,06-02-2031,Rarely,Video,4,0,2,Education,Neutral,30.75
Arjun Reddy,Google,Germany,2801,13577,9,4,39,7,4,3,3,118,14,17,242,2.86,07-02-2031,Daily,Video,15,1,2,Marketing,Positive,98.16
Rahul Mishra,Startup,Germany,508,3472,13,3,47,7,4,1,1,289,65,40,48,2.93,08-02-2031,Monthly,Video,16,3,0,Finance,Negative,74.08
Abhishek Tiwari,Startup,India,1037,14205,6,1,47,5,0,3,1,125,42,38,327,4.55,09-02-2031,Monthly,Article,24,4,0,Education,Negative,21.9
Vikram Mehta,Startup,Canada,2688,12882,9,3,32,6,1,3,14,466,64,18,461,9.07,10-02-2031,Rarely,Text,29,2,0,Marketing,Negative,91.36
Meera Rao,Facebook,India,4724,12534,8,1,24,8,3,2,5,228,10,35,148,6.49,11-02-2031,Monthly,Video,28,3,1,Marketing,Negative,37.82
Nidhi Goel,Tesla,Australia,3243,8024,5,4,48,3,3,2,18,467,71,3,449,6.71,12-02-2031,Monthly,Video,18,2,0,Finance,Negative,84.82
Shweta Bhattacharya,Startup,USA,2685,11541,13,4,37,9,3,4,2,191,88,23,352,6.14,13-02-2031,Daily,Image,28,3,0,Consulting,Negative,17.76
Neha Malhotra,Tesla,Australia,1899,19374,3,1,22,1,4,2,6,440,40,33,247,2.82,14-02-2031,Daily,Text,23,0,2,Marketing,Negative,1.63
Karthik Nair,Startup,Australia,4445,8892,9,1,17,8,4,1,15,465,28,47,134,3.78,15-02-2031,Weekly,Image,10,2,2,Finance,Positive,68.48
Rohan Iyer,Facebook,UK,556,15776,10,1,8,9,4,1,4,216,3,0,361,5.71,16-02-2031,Daily,Text,19,4,1,Healthcare,Positive,12.53
Sandeep Patil,Google,India,4591,16884,5,1,40,3,4,3,6,62,19,36,389,8.64,17-02-2031,Monthly,Text,9,2,0,Tech,Neutral,44.73
Priya Verma,Google,Canada,1154,8537,2,3,33,0,3,3,5,228,4,43,219,5.88,18-02-2031,Weekly,Image,3,2,1,Marketing,Neutral,67.62
Sneha Joshi,Google,India,1240,5946,4,1,35,0,2,1,16,43,58,44,31,1.93,19-02-2031,Daily,Article,27,1,1,Education,Neutral,2.55
Meera Rao,Microsoft,Germany,1922,9140,8,3,36,1,0,3,6,144,69,16,486,5.29,20-02-2031,Daily,Video,8,4,0,Consulting,Neutral,52.6
Harsh Vardhan,Amazon,UK,3845,10223,13,4,34,3,3,4,9,462,70,45,237,9.9,21-02-2031,Weekly,Text,22,0,1,Tech,Positive,91.75
Sandeep Patil,Tesla,UK,1335,4082,9,1,24,4,0,2,17,289,54,30,92,2.42,22-02-2031,Daily,Text,17,1,2,Consulting,Neutral,35.09
Ritika Jain,Facebook,UK,1679,16811,4,1,46,6,1,1,6,262,64,3,34,1.21,23-02-2031,Rarely,Article,25,1,1,Healthcare,Positive,65.74
Vikram Mehta,Amazon,India,4255,18454,12,4,31,1,2,2,1,71,64,41,235,6.04,24-02-2031,Monthly,Article,4,3,2,Tech,Positive,17.84
Manish Kulkarni,Tesla,USA,2437,6903,9,4,33,9,1,3,14,472,81,7,208,1.23,25-02-2031,Rarely,Image,3,1,0,Finance,Neutral,15.8
Pooja Choudhary,Google,India,380,13139,3,4,18,2,4,3,9,494,14,27,235,8.37,26-02-2031,Weekly,Video,14,3,2,Tech,Negative,27.86
Aarav Sharma,Freelancer,Canada,3845,15535,4,4,47,6,0,1,4,183,8,49,156,4.26,27-02-2031,Monthly,Article,29,4,0,Consulting,Positive,17.51
Neha Malhotra,Tesla,USA,4485,2959,11,3,28,8,4,2,1,69,3,35,287,7.36,28-02-2031,Daily,Image,14,1,0,Education,Negative,63.5
Yashwant Joshi,Tesla,Australia,2735,18481,8,4,17,3,4,2,6,278,11,14,296,4.94,01-03-2031,Weekly,Article,17,1,2,Tech,Negative,32.11
Vikram Mehta,Startup,UK,4745,13006,10,3,26,0,2,2,3,82,76,49,112,8.86,02-03-2031,Monthly,Text,26,2,1,Education,Negative,26.28
Arjun Reddy,Freelancer,USA,422,17988,2,3,31,9,2,3,6,108,15,5,74,9.99,03-03-2031,Monthly,Text,25,0,1,Consulting,Negative,78.93
Abhishek Tiwari,Microsoft,USA,4269,14609,10,1,18,0,1,4,15,19,88,32,218,8.84,04-03-2031,Rarely,Text,22,0,0,Marketing,Negative,48.44
Priya Verma,Startup,USA,2457,5433,3,3,37,2,4,3,3,483,34,27,299,1.52,05-03-2031,Monthly,Image,18,4,1,Finance,Neutral,91.92
Meera Rao,Tesla,Australia,1573,1561,11,2,16,7,4,1,12,274,74,21,492,9.4,06-03-2031,Daily,Image,23,1,1,Consulting,Negative,89.89
Neha Malhotra,Startup,Canada,4959,8760,5,3,43,5,4,4,4,108,34,33,375,1.99,07-03-2031,Rarely,Article,27,2,0,Tech,Negative,26.03
Rahul Mishra,Facebook,USA,4434,5026,9,1,33,5,4,2,7,406,46,25,29,7.31,08-03-2031,Weekly,Text,13,1,1,Tech,Positive,28.29
Tanvi Agarwal,Amazon,UK,4834,4953,10,1,45,8,4,2,7,237,57,8,410,4.3,09-03-2031,Daily,Image,9,4,2,Consulting,Negative,51.65
Neha Malhotra,Google,USA,4977,5094,13,2,43,5,2,2,11,287,17,10,88,4.98,10-03-2031,Daily,Text,11,3,2,Marketing,Negative,51.81
Priya Verma,Freelancer,Canada,1255,7409,2,2,38,0,3,4,8,12,81,24,257,3.99,11-03-2031,Monthly,Video,1,2,0,Finance,Neutral,7.79
Varun Bhatia,Tesla,UK,2107,10794,4,1,42,6,0,1,14,407,94,11,467,5.85,12-03-2031,Daily,Text,7,1,2,Education,Neutral,80.22
Meera Rao,Google,India,2978,5959,6,1,20,7,2,3,13,93,32,31,139,2.94,13-03-2031,Rarely,Video,11,0,1,Healthcare,Negative,4.65
Abhishek Tiwari,Freelancer,UK,1912,12898,13,2,36,9,1,3,16,74,37,36,280,4.46,14-03-2031,Rarely,Article,9,3,2,Finance,Negative,2.83
Abhishek Tiwari,Google,Canada,2795,14292,12,4,42,4,4,3,14,368,62,26,468,0.55,15-03-2031,Monthly,Text,7,1,2,Finance,Neutral,80.38
Kavya Deshmukh,Amazon,UK,2850,15181,13,3,6,7,4,1,18,304,89,21,285,4.91,16-03-2031,Rarely,Text,20,2,0,Education,Neutral,10.66
Aniket Bose,Amazon,UK,1177,11652,11,2,49,4,0,2,6,163,87,17,220,7.73,17-03-2031,Monthly,Article,25,2,1,Finance,Negative,82.55
Ananya Kapoor,Amazon,USA,977,12719,14,4,43,4,2,4,2,459,39,38,281,7.35,18-03-2031,Daily,Text,28,0,2,Finance,Neutral,47.25
Karthik Nair,Tesla,Germany,3908,6040,8,3,7,9,0,4,7,287,15,23,93,3.57,19-03-2031,Monthly,Article,2,0,0,Consulting,Positive,46.78
Ritika Jain,Facebook,India,1252,19088,1,1,37,2,2,1,12,293,33,15,189,7.09,20-03-2031,Rarely,Text,26,3,2,Healthcare,Neutral,28.64
Priya Verma,Microsoft,India,3399,6455,5,2,11,3,0,4,3,281,85,28,103,3.84,21-03-2031,Monthly,Article,10,4,0,Consulting,Positive,33.4
Swati Rajan,Startup,Canada,1633,3124,8,1,15,5,0,3,6,406,52,46,310,9.98,22-03-2031,Daily,Image,10,1,1,Marketing,Negative,89.94
Vikram Mehta,Startup,UK,4738,3115,6,2,43,6,4,3,3,15,99,45,65,8.14,23-03-2031,Rarely,Text,12,0,0,Marketing,Positive,38.57
Shweta Bhattacharya,Startup,UK,3405,7901,14,4,47,5,4,2,8,487,47,8,140,0.61,24-03-2031,Weekly,Image,5,0,0,Tech,Positive,95.6
